"","ietd_ind","gi","tar_percentage"
"1",2,2,42.058930596524
"2",2,2.1,43.8786268691021
"3",2,2.2,45.6691617519907
"4",2,2.3,47.4662589259842
"5",2,2.4,49.2512778647072
"6",2,2.5,51.0113330886524
"7",2,2.6,52.7841038389752
"8",2,2.7,54.5222349507366
"9",2,2.8,56.2379590123862
"10",2,2.9,57.9273263501065
"11",2,3,59.5814308962889
"12",2,3.1,61.1952827874566
"13",2,3.2,62.8146880414225
"14",2,3.3,64.4561140010831
"15",2,3.4,66.0529963476574
"16",2,3.5,67.5952465094824
"17",2,3.6,69.1239098621186
"18",2,3.7,70.6695010981583
"19",2,3.8,72.1861397392928
"20",2,3.9,73.6506350910096
"21",2,4,75.1384766380617
"22",2,4.1,76.586552201935
"23",2,4.2,78.0005811392244
"24",2,4.3,79.4285959196014
"25",2,4.4,80.7825588395638
"26",2,4.5,82.1100885570711
"27",2,4.6,83.4071813263162
"28",2,4.7,84.7198399056706
"29",2,4.8,85.9583304900998
"30",2,4.9,87.1809263668778
"31",2,5,88.4020323767217
"32",2,5.1,89.5657886427013
"33",2,5.2,90.6552620299753
"34",2,5.3,91.6552573124738
"35",2,5.4,92.6752091415252
"36",2,5.5,93.5660818281192
"37",2,5.6,94.4124110822852
"38",2,5.7,95.0541287636468
"39",2,5.8,95.5828250675025
"40",2,5.9,96.0792263080009
"41",2,6,96.4996551075971
"42",2,6.1,96.8634515138016
"43",2,6.2,97.1474837242387
"44",2,6.3,97.3956275893291
"45",2,6.4,97.5902115655069
"46",2,6.5,97.7382646063366
"47",2,6.6,97.8836162804419
"48",2,6.7,98.063521134107
"49",2,6.8,98.1779413762125
"50",2,6.9,98.2986616264709
"51",2,7,98.4313319124849
"52",2,7.1,98.5147187698807
"53",2,7.2,98.6055944497348
"54",2,7.3,98.6643890044685
"55",2,7.4,98.7209670515415
"56",2,7.5,98.7614945831401
"57",2,7.6,98.8025306317351
"58",2,7.7,98.8442692053064
"59",2,7.8,98.898092183934
"60",2,7.9,98.9445024735126
"61",2,8,98.9909055118508
"62",2,8.1,99.0357092314604
"63",2,8.2,99.080460564804
"64",2,8.3,99.1247254684132
"65",2,8.4,99.140879316934
"66",2,8.5,99.1489832601436
"67",2,8.6,99.1502604356873
"68",2,8.7,99.1515376764677
"69",2,8.8,99.1528148259167
"70",2,8.9,99.154091910129
"71",2,9,99.1553692161461
"72",2,9.1,99.1566463544324
"73",2,9.2,99.1579235169288
"74",2,9.3,99.1592006402831
"75",2,9.4,99.1604778419215
"76",2,9.5,99.1617549913705
"77",2,9.6,99.1630321427042
"78",2,9.7,99.1643093965319
"79",2,9.8,99.1655865068389
"80",2,9.9,99.1668637084773
"81",2,10,99.1681409101156
