"","Quantiles","gi","value","peak_percentile"
"1","q10",2,4.42672718431414,"[0,25)"
"2","q10",2.1,4.42672718431414,"[0,25)"
"3","q10",2.2,4.42672718431414,"[0,25)"
"4","q10",2.3,4.42672718431414,"[0,25)"
"5","q10",2.4,4.42672718431414,"[0,25)"
"6","q10",2.5,4.42672718431414,"[0,25)"
"7","q10",2.6,4.42672718431414,"[0,25)"
"8","q10",2.7,4.42672718431414,"[0,25)"
"9","q10",2.8,4.42672718431414,"[0,25)"
"10","q10",2.9,4.42672718431414,"[0,25)"
"11","q10",3,4.42672718431414,"[0,25)"
"12","q10",3.1,4.42672718431414,"[0,25)"
"13","q10",3.2,4.42672718431414,"[0,25)"
"14","q10",3.3,4.42672718431414,"[0,25)"
"15","q10",3.4,4.42672718431414,"[0,25)"
"16","q10",3.5,4.42672718431414,"[0,25)"
"17","q10",3.6,4.42672718431414,"[0,25)"
"18","q10",3.7,4.42672718431414,"[0,25)"
"19","q10",3.8,4.42672718431414,"[0,25)"
"20","q10",3.9,4.42672718431414,"[0,25)"
"21","q10",4,4.42672718431414,"[0,25)"
"22","q10",4.1,4.42672718431414,"[0,25)"
"23","q10",4.2,4.42672718431414,"[0,25)"
"24","q10",4.3,4.44750782573441,"[0,25)"
"25","q10",4.4,4.76398624226177,"[0,25)"
"26","q10",4.5,5.10914611848036,"[0,25)"
"27","q10",4.6,5.49417279711378,"[0,25)"
"28","q10",4.7,5.93025162088565,"[0,25)"
"29","q10",4.8,6.42856793251958,"[0,25)"
"30","q10",4.9,7.00030707473916,"[0,25)"
"31","q10",5,7.65665439026802,"[0,25)"
"32","q10",5.1,8.34829828368841,"[0,25)"
"33","q10",5.2,9.03134974171038,"[0,25)"
"34","q10",5.3,9.72512798024925,"[0,25)"
"35","q10",5.4,10.4489522152203,"[0,25)"
"36","q10",5.5,11.222141662539,"[0,25)"
"37","q10",5.6,12.0640155381205,"[0,25)"
"38","q10",5.7,12.9938930578802,"[0,25)"
"39","q10",5.8,14.0310934377334,"[0,25)"
"40","q10",5.9,15.1949358935954,"[0,25)"
"41","q10",6,16.5047396413816,"[0,25)"
"42","q10",6.1,17.9755135660832,"[0,25)"
"43","q10",6.2,19.5966198422651,"[0,25)"
"44","q10",6.3,21.3489076202032,"[0,25)"
"45","q10",6.4,23.2132260501735,"[0,25)"
"46","q10",6.5,25.1704242824518,"[0,25)"
"47","q10",6.6,27.2013514673141,"[0,25)"
"48","q10",6.7,29.2868567550364,"[0,25)"
"49","q10",6.8,31.4077892958943,"[0,25)"
"50","q10",6.9,33.5449982401641,"[0,25)"
"51","q10",7,35.6793327381214,"[0,25)"
"52","q10",7.1,37.9217955133894,"[0,25)"
"53","q10",7.2,40.3602065929304,"[0,25)"
"54","q10",7.3,42.9406410820293,"[0,25)"
"55","q10",7.4,45.6091740859712,"[0,25)"
"56","q10",7.5,48.311880710041,"[0,25)"
"57","q10",7.6,50.9948360595237,"[0,25)"
"58","q10",7.7,53.6041152397043,"[0,25)"
"59","q10",7.8,56.0857933558677,"[0,25)"
"60","q10",7.9,58.385945513299,"[0,25)"
"61","q10",8,60.450646817283,"[0,25)"
"62","q10",8.1,62.3819386867095,"[0,25)"
"63","q10",8.2,64.3113323233907,"[0,25)"
"64","q10",8.3,66.2291075069953,"[0,25)"
"65","q10",8.4,68.1255440171922,"[0,25)"
"66","q10",8.5,69.9909216336503,"[0,25)"
"67","q10",8.6,71.8155201360384,"[0,25)"
"68","q10",8.7,73.5896193040255,"[0,25)"
"69","q10",8.8,75.3034989172802,"[0,25)"
"70","q10",8.9,76.9474387554715,"[0,25)"
"71","q10",9,78.5117185982682,"[0,25)"
"72","q10",9.1,79.9969107411974,"[0,25)"
"73","q10",9.2,81.4120935630768,"[0,25)"
"74","q10",9.3,82.7603059685111,"[0,25)"
"75","q10",9.4,84.044586862105,"[0,25)"
"76","q10",9.5,85.2679751484632,"[0,25)"
"77","q10",9.6,86.4335097321904,"[0,25)"
"78","q10",9.7,87.5442295178914,"[0,25)"
"79","q10",9.8,88.6031734101708,"[0,25)"
"80","q10",9.9,89.6133803136334,"[0,25)"
"81","q10",10,90.5778891328839,"[0,25)"
"82","q10",2,1.08840586631432,"[25,50)"
"83","q10",2.1,1.14321525508284,"[25,50)"
