gi,rv,ff,q10_1,q10_2,q10_3,q10_4,w_1,w_2,w_3,w_4
2,10.73123096,42.0589306,4.426727184,1.088405866,0.749189315,0.533954663,23.35518755,5.148891519,2.941212258,1.981142365
2.1,11.23399386,43.87862687,4.426727184,1.143215255,0.786177005,0.56065354,24.50045939,5.521259718,2.941212258,2.051360681
2.2,11.735139,45.66916175,4.426727184,1.198024633,0.823188878,0.587352426,25.63685732,5.901370425,2.941212258,2.124146362
2.3,12.23943921,47.46625893,4.426727184,1.252834001,0.860223437,0.61405132,26.76464895,6.289177872,2.958502322,2.199470927
2.4,12.73609098,49.25127786,4.426727184,1.307643362,0.897279187,0.640750224,27.88410187,6.684636287,2.988192523,2.277305893
2.5,13.23329914,51.01133309,4.426727184,1.362452716,0.934354633,0.667449138,28.99548369,7.0876999,3.029442396,2.357622779
2.6,13.72362651,52.78410384,4.426727184,1.417262066,0.971448278,0.694148061,30.09906201,7.498322941,3.08200969,2.440393103
2.7,14.21258304,54.52223495,4.426727184,1.472071412,1.008558628,0.720846994,31.19510443,7.916459639,3.145652153,2.525588383
2.8,14.7036662,56.23795901,4.426727184,1.526880757,1.045684186,0.747545937,32.28387855,8.342064225,3.220127535,2.613180138
2.9,15.18518615,57.92732635,4.426727184,1.581690102,1.082823457,0.774244891,33.36565196,8.775090928,3.305193585,2.703139884
3,15.6699934,59.5814309,4.426727184,1.636499448,1.119974947,0.800943855,34.44069227,9.215493978,3.400608053,2.79543914
3.1,16.13920111,61.19528279,4.426727184,1.691308798,1.157131672,0.82764283,35.50957528,9.663354504,3.505505153,2.889984944
3.2,16.61566025,62.81468804,4.426727184,1.746118152,1.19429132,0.854341818,36.57217537,10.11884094,3.619722934,2.986764368
3.3,17.09439541,64.456114,4.426727184,1.800927505,1.231459395,0.881040815,37.62770797,10.58203846,3.744074891,3.085868985
3.4,17.5623917,66.05299635,4.426727184,1.855736852,1.268641403,0.907739822,38.67538854,11.05303225,3.879374519,3.187390365
3.5,18.02587883,67.59524651,4.426727184,1.910546188,1.305842849,0.934438838,39.71443254,11.53190748,4.026435314,3.291420079
3.6,18.48638041,69.12390986,4.426727184,1.96535551,1.343069239,0.961137861,40.74405542,12.01874934,4.186070772,3.398049699
3.7,18.9415559,70.6695011,4.426727184,2.020164811,1.380326079,0.987836891,41.76347262,12.51364301,4.359094389,3.507370797
3.8,19.40166096,72.18613974,4.426727184,2.074974089,1.417618873,1.014535926,42.77189959,13.01667366,4.54631966,3.619474944
3.9,19.85061922,73.65063509,4.426727184,2.129783339,1.454953127,1.041234966,43.7685518,13.52792648,4.748560081,3.73445371
4,20.30766718,75.13847664,4.426727184,2.184592555,1.492334347,1.06793401,44.75264468,14.04748664,4.966629148,3.852398668
4.1,20.75667088,76.5865522,4.426727184,2.239401805,1.529693919,1.094633091,45.73204963,14.57360559,5.191588546,3.972084626
4.2,21.20689059,78.00058114,4.426727184,2.29421114,1.566978393,1.121332235,46.71310583,15.10495884,5.416354674,4.092568688
4.3,21.65827685,79.42859592,4.447507826,2.349020533,1.604216021,1.148031426,47.69273039,15.64226764,5.644523101,4.214365872
